journal;volume;year;isbn;pages
Libr. Trends;47;1999;0-597-03304-8;376
Speech Commun.;48;2006;0-7942-8396-9;190
SIAM J. Sci. Comput.;20;1999;1-7349703-8-3;319
Inf. Sci.;422;2018;1-314-28355-3;114
J. Bioinform. Comput. Biol.;17;2019;1-9830-3846-6;356
Notre Dame J. Formal Log.;35;1994;1-4635-8770-8;174
CoRR;abs/2103.05587;2021;0-354-21277-X;143
CoRR;abs/1903.06814;2019;0-7198-2657-8;385
CoRR;abs/2003.03583;2020;1-02-372202-X;173
CoRR;abs/1906.09621;2019;1-5300-8570-5;215
J. Real Time Image Process.;6;2011;0-05-363644-9;120
SIGART Newsl.;80;1982;1-01-736522-9;209
Wirel. Pers. Commun.;30;2004;0-12-934498-2;192
Technometrics;63;2021;0-7170-6183-3;123
IEEE Trans. Wirel. Commun.;11;2012;1-5121-4911-X;391
Inf. Comput.;164;2001;1-75229-091-7;165
CoRR;abs/2101.04912;2021;0-305-51358-3;263
J. Netw. Syst. Manag.;27;2019;0-13-732055-8;354
Digit. Tech. J.;9;1997;0-936611-16-2;195
Int. J. Comput. Process. Orient. Lang.;23;2011;1-84801-082-6;379
ReCALL;21;2009;1-62672-657-4;281
IEEE Trans. Big Data;3;2017;1-68870-660-7;383
IEEE Comput. Archit. Lett.;17;2018;0-339-69486-6;124
Appl. Math. Comput.;144;2003;0-920297-21-8;114
Acta Informatica;41;2005;0-8199-8153-2;221
SIAM J. Discret. Math.;7;1994;1-79152-755-8;244
IEEE Wirel. Commun.;24;2017;0-279-04181-0;175
CoRR;abs/1901.03142;2019;0-7091-3520-3;318
J. Econ. Theory;140;2008;1-4802-2342-5;273
IEEE Trans. Control. Syst. Technol.;11;2003;1-59574-996-9;230
Knowl. Inf. Syst.;38;2014;1-5433-8369-6;354
Proc. Priv. Enhancing Technol.;2022;2022;0-16-034251-1;352
Eur. J. Comb.;86;2020;1-920395-56-3;275
RAIRO Oper. Res.;50;2016;0-06-819587-7;205
CoRR;abs/2101.03351;2021;1-62456-319-8;304
Poiesis Prax.;9;2012;0-89507-345-5;294
Autom.;49;2013;0-338-94662-4;319
Netw. Secur.;2015;2015;0-252-61351-1;128
Appl. Math. Comput.;190;2007;0-389-30813-7;360
Int. J. Comput. Assist. Lang. Learn. Teach.;1;2011;0-8336-9259-3;281
Biomed. Signal Process. Control.;43;2018;1-60496-977-6;151
CoRR;abs/2010.05844;2020;0-7726-4489-6;229
Decis. Support Syst.;78;2015;1-907725-31-8;363
Comput. Geom.;18;2001;1-5086-5736-X;309
J. Mobile Multimedia;9;2014;0-451-25570-4;264
Comput. Hum. Behav.;26;2010;1-964426-70-7;293
IEEE Trans. Commun.;28;1980;0-625-19877-8;229
IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.;25;2006;0-902954-35-0;263
J. Num. Math.;22;2014;0-628-15800-9;191
IEEE Softw.;2;1985;1-06-972845-4;241
Comput. Oper. Res.;29;2002;1-948411-49-0;253
Int. J. Neural Syst.;10;2000;0-661-98978-X;233
Scientometrics;120;2019;1-00-789763-5;347
CoRR;abs/1902.10590;2019;1-4455-3544-0;215
IEEE Trans. Instrum. Meas.;65;2016;0-611-06291-7;342
Comput. Aided Des.;27;1995;0-8290-5407-3;105
J. Membr. Comput.;2;2020;1-255-19318-2;308
CoRR;abs/1312.5257;2013;1-04-030699-3;265
CoRR;abs/1404.0144;2014;1-61171-394-3;122
Entropy;14;2012;1-65124-340-9;139
IEEE Trans. Software Eng.;19;1993;1-62071-356-X;314
Artif. Intell. Eng. Des. Anal. Manuf.;10;1996;1-189-66566-2;239
J. Optim. Theory Appl.;147;2010;1-4176-6581-5;312
CoRR;abs/1804.08300;2018;1-236-04620-X;341
CoRR;abs/1501.07323;2015;1-102-06134-4;159
Wirel. Pers. Commun.;32;2005;0-8059-8606-5;129
Comput. Stat. Data Anal.;67;2013;1-298-73907-1;184
Multiagent Grid Syst.;1;2005;0-8227-1786-7;390
Oper. Res.;63;2015;1-178-44099-0;288
IACR Cryptol. ePrint Arch.;2022;2022;1-5396-8261-7;239
Perform. Evaluation;46;2001;0-7476-0622-6;364
Pattern Recognit. Lett.;109;2018;1-146-04890-4;314
Int. J. Inf. Technol. Web Eng.;14;2019;1-00-743004-4;289
Behav. Inf. Technol.;25;2006;0-642-57614-9;211
Stud Logica;79;2005;0-05-874899-7;334
Comput. Phys. Commun.;178;2008;0-05-178931-0;224
Math. Program.;112;2008;1-122-83884-0;222
Soft Comput.;12;2008;1-387-88111-6;354
Kybernetika;1;1965;1-5078-1356-2;355
CoRR;abs/2112.00686;2021;1-941323-76-6;121
CoRR;abs/1906.06437;2019;1-08-911837-6;212
Comput. Chem. Eng.;63;2014;1-328-47470-4;244
CoRR;abs/2105.00849;2021;1-915870-92-5;238
Wirel. Pers. Commun.;80;2015;1-226-25129-3;394
J. Comput. Inf. Technol.;20;2012;0-910572-45-3;142
Artif. Intell. Rev.;46;2016;1-376-07229-7;274
ACM SIGCSE Bull.;30;1998;1-68289-307-3;172
Numer. Algorithms;13;1996;1-251-73132-5;378
Internet High. Educ.;13;2010;0-280-92142-X;128
CoRR;abs/2105.03023;2021;1-145-77270-6;130
Simul. Pract. Theory;5;1997;1-204-85344-4;226
Serv. Oriented Comput. Appl.;6;2012;0-366-02672-0;153
IEEE Trans. Computers;45;1996;1-00-644740-7;212
CoRR;abs/1910.00762;2019;0-7677-3503-X;355
Electron. Notes Discret. Math.;3;1999;0-271-62189-3;161
Comput. Syst. Sci. Eng.;34;2019;0-11-121046-1;393
CoRR;abs/2005.12997;2020;1-935766-12-0;278
Inf. Syst.;5;1980;0-293-38195-X;312
CoRR;abs/2005.01649;2020;1-77988-860-0;144
CoRR;abs/1707.01006;2017;1-203-89709-X;311
Int. J. Hum. Comput. Interact.;30;2014;0-88768-300-2;283
IWBS Report;112;1990;0-07-541787-1;350
Des. Codes Cryptogr.;18;1999;0-7861-5245-1;215
Neurocomputing;43;2002;1-208-36068-X;166
Eur. J. Comb.;49;2015;1-85417-075-9;198
CoRR;abs/1906.05153;2019;0-9942116-6-X;340
ACM Trans. Asian Low Resour. Lang. Inf. Process.;16;2016;1-903669-89-8;392
Int. J. Math. Model. Numer. Optimisation;8;2018;1-345-91912-3;312
Int. J. Cloud Appl. Comput.;8;2018;0-675-64330-9;190
Neurocomputing;73;2010;0-18-322896-0;215
SIGIR Forum;10;1976;1-361-22336-7;197
CAAI Trans. Intell. Technol.;2;2017;1-137-21061-3;119
CoRR;abs/1703.05105;2017;0-8169-9493-5;113
J. Syst. Sci. Complex.;29;2016;1-265-95603-0;140
CoRR;abs/1601.08190;2016;0-443-18160-8;238
CoRR;abs/2011.15081;2020;0-360-88782-1;114
SIGIR Forum;31;1997;1-887930-97-3;277
J. Assoc. Inf. Syst.;20;2019;0-577-18074-6;271
Algorithmica;30;2001;1-71963-076-3;132
CoRR;abs/1504.06316;2015;0-430-55902-X;132
CoRR;abs/2108.08503;2021;0-07-377444-8;305
IEEE Signal Process. Mag.;25;2008;0-242-53878-9;283
CoRR;abs/1606.09205;2016;1-82642-542-X;345
CoRR;abs/2007.15778;2020;0-344-93277-X;253
J. Frankl. Inst.;351;2014;1-76805-869-5;267
CoRR;abs/2105.15186;2021;0-489-98665-X;200
CoRR;abs/1310.0177;2013;1-76353-517-7;374
CoRR;abs/1711.10945;2017;0-383-13410-2;394
Mach. Vis. Appl.;5;1992;0-914255-73-8;127
CoRR;abs/1809.03721;2018;0-7917-9414-8;292
CoRR;abs/1603.09382;2016;1-234-91015-2;298
CoRR;abs/1802.08678;2018;1-5272-2807-X;296
CoRR;abs/1507.02439;2015;1-72265-003-6;167
J. Comput. Geom.;10;2019;0-434-97190-1;107
IEEE Trans. Intell. Transp. Syst.;23;2022;0-86061-677-0;316
CoRR;abs/1102.5030;2011;0-362-90950-4;131
J. Low Power Electron.;12;2016;1-72379-939-4;349
CoRR;abs/1611.02590;2016;1-111-54085-3;130
CoRR;cs.CG/0106032;2001;1-955566-68-2;391
CoRR;abs/2105.04274;2021;1-253-31665-1;356
Int. J. Technol. Manag.;21;2001;0-603-42998-X;223
CoRR;abs/2009.12114;2020;1-00-951417-2;392
Inf. Retr.;3;2000;1-4860-5359-9;274
Eur. J. Control;49;2019;0-386-25519-9;185
CoRR;abs/1711.09534;2017;1-61961-227-5;142
CoRR;abs/2109.07953;2021;1-350-78377-3;258
EAI Endorsed Trans. Energy Web;5;2018;0-490-29886-9;373
J. Syst. Softw.;26;1994;0-8119-6965-7;250
Environ. Model. Softw.;17;2002;1-72118-427-9;398
CoRR;abs/2104.03374;2021;1-00-655975-2;288
CoRR;abs/2008.03077;2020;0-552-03956-X;340
CoRR;abs/1511.00053;2015;0-275-03568-9;160
Artif. Intell. Medicine;97;2019;1-911649-01-9;383
Formaliz. Math.;18;2010;1-124-91695-4;315
Ad Hoc Networks;45;2016;1-391-21217-7;146
J. Syst. Softw.;101;2015;1-163-28189-1;125
Int. J. Syst. Sci.;47;2016;0-575-13814-9;167
Inf. Fusion;56;2020;0-290-94135-0;222
Artif. Intell.;49;1991;0-693-16973-7;105
CoRR;abs/1206.1438;2012;0-465-48242-2;199
CoRR;abs/2201.03098;2022;1-75134-031-7;386
Comput. Vis. Image Underst.;123;2014;1-03-089823-5;130
Comput. Graph.;38;2014;1-9996739-3-X;220
Ingénierie des Systèmes d Inf.;24;2019;0-677-17289-3;245
CoRR;abs/1610.08668;2016;0-00-778180-6;266
CoRR;abs/2106.02425;2021;1-5165-0959-5;188
CoRR;abs/1212.1224;2012;0-477-20524-0;111
Digit. Investig.;36;2021;1-57733-336-5;185
ACM SIGPLAN Notices;11;1976;1-303-31521-1;137
Comput. Speech Lang.;11;1997;1-06-946570-4;380
Cybern. Syst.;50;2019;0-08-580779-6;194
Autom.;137;2022;1-944236-53-8;291
Eur. J. Control;16;2010;0-280-37494-1;186
Bull. Symb. Log.;6;2000;1-942436-14-9;288
Manag. Sci.;58;2012;1-924072-41-6;173
Eng. Lett.;16;2008;0-205-43097-X;376
J. Comput. Phys.;297;2015;0-87064-350-9;313
Appl. Intell.;5;1995;0-7635-3862-0;246
Health Informatics J.;15;2009;0-335-74521-0;339
Comput. Ind.;49;2002;1-04-048924-9;216
Theor. Comput. Sci.;774;2019;0-04-849425-9;125
Eur. J. Oper. Res.;186;2008;1-86236-332-3;215
SIGecom Exch.;8;2009;1-128-09827-X;231
CoRR;abs/2007.15154;2020;0-213-36521-9;133
Comput. Biol. Medicine;35;2005;0-8472-3510-6;139
Expert Syst. Appl.;186;2021;1-86203-424-9;176
Nucleic Acids Res.;25;1997;1-07-406682-0;169
CoRR;abs/0805.0895;2008;0-16-613825-8;275
CoRR;abs/2111.05694;2021;0-545-56251-1;249
CoRR;abs/1812.06181;2018;0-265-39223-3;224
Comput. Educ.;39;2002;0-7944-4422-9;111
Spatial Cogn. Comput.;3;2003;0-570-66240-0;390
Algorithmica;69;2014;1-64806-981-9;120
RFC;6368;2011;0-499-76416-1;257
Int. J. Data Min. Model. Manag.;3;2011;0-7897-9374-1;144
Trans. Assoc. Comput. Linguistics;6;2018;1-4416-7333-4;316
Comput. Hum. Behav.;52;2015;0-213-42055-4;292
Int. J. Comput. Math.;79;2002;1-84019-378-6;294
Frontiers Robotics AI;6;2019;1-124-77420-3;391
J. Digit. Imaging;25;2012;0-428-69979-0;400
First Monday;21;2016;0-646-98611-2;286
CoRR;abs/1405.1565;2014;1-7393255-3-2;100
CoRR;abs/2012.03188;2020;0-7925-9569-6;187
CoRR;abs/1807.10178;2018;1-299-33031-2;265
Ann. Pure Appl. Log.;109;2001;1-994710-76-4;111
CoRR;abs/1711.04216;2017;0-537-02828-5;396
Stud Logica;85;2007;1-332-80908-1;329
Int. J. Comput. Integr. Manuf.;34;2021;0-9978535-2-2;109
Informatica (Slovenia);18;1994;0-679-42602-7;308
J. Vis.;7;2004;0-9776404-3-4;301
J. Manag. Inf. Syst.;14;1998;1-60589-221-1;222
J. Organ. End User Comput.;14;2002;1-361-46627-8;205
J. Circuits Syst. Comput.;23;2014;0-87499-818-2;331
Wirel. Pers. Commun.;106;2019;1-374-35868-1;397
ACM SIGCHI Bull.;21;1990;0-419-84208-X;373
J. Symb. Comput.;6;1988;0-7478-6686-4;119
J. Algorithms;55;2005;1-09-091037-1;154
Knowl. Based Syst.;74;2015;0-913729-19-1;261
Comput. Intell.;12;1996;0-19-663797-X;203
Bell Labs Tech. J.;11;2006;1-71937-007-9;372
SIAM J. Comput.;39;2010;0-9965360-6-X;315
Adv. Complex Syst.;14;2011;1-86486-278-5;107
CoRR;abs/2101.06030;2021;1-69295-610-8;398
CoRR;abs/2010.03994;2020;1-65936-477-9;275
Math. Comput. Model.;57;2013;1-4406-0552-1;301
ACM Trans. Softw. Eng. Methodol.;1;1992;1-56680-782-4;137
Inf. Process. Lett.;5;1976;0-87301-882-6;353
CoRR;abs/2108.09289;2021;0-579-76548-2;135
J. Syst. Softw.;122;2016;1-261-42279-1;199
CoRR;abs/1909.01887;2019;1-5292-8473-2;221
Appl. Math. Comput.;267;2015;1-82781-231-1;372
CoRR;abs/1711.08172;2017;0-495-52257-0;252
CoRR;abs/1903.03936;2019;1-364-50490-1;105
CoRR;abs/2011.05552;2020;1-347-61054-5;382
Theor. Comput. Sci.;68;1989;1-77497-944-6;182
J. Syst. Sci. Complex.;32;2019;1-885671-95-4;166
Oper. Res. Lett.;35;2007;0-575-27532-4;128
CoRR;abs/1806.00780;2018;0-9884455-3-0;245
CoRR;abs/1901.10405;2019;0-275-31737-4;214
Inf. Comput.;90;1991;1-264-29862-5;284
Int. J. Comput. Math.;92;2015;1-60850-573-1;361
CoRR;abs/1312.4666;2013;0-344-86532-0;306
VLDB J.;18;2009;1-83519-503-2;150
CoRR;abs/2001.11688;2020;1-146-76300-X;208
Multim. Tools Appl.;58;2012;0-7884-4916-8;387
J. Supercomput.;6;1992;0-419-30913-6;360
ACM Comput. Surv.;53;2020;0-517-29438-9;283
Comput. methods Biomech. Biomed. Eng. Imaging Vis.;5;2017;1-05-331880-4;378
Oper. Res. Lett.;44;2016;1-85956-329-5;317
CoRR;abs/1711.09313;2017;1-135-91873-2;178
CoRR;abs/2009.13302;2020;1-84850-015-7;127
J. Comput. Appl. Math.;258;2014;0-00-757357-X;282
CoRR;abs/1712.00507;2017;0-687-74213-7;353
J. Inf. Process.;16;2008;0-07-062614-6;191
J. Artif. Soc. Soc. Simul.;22;2019;1-73008-385-4;278
IEEE Netw.;18;2004;0-691-00433-1;247
Int. J. Approx. Reason.;33;2003;0-9673229-7-9;350
Optim. Lett.;3;2009;0-308-76223-1;311
CoRR;abs/2108.11486;2021;1-63486-387-9;362
Peer-to-Peer Netw. Appl.;4;2011;1-281-03612-9;157
Comput. Commun.;103;2017;1-67887-135-4;374
CoRR;abs/0910.2502;2009;0-254-88777-5;227
CoRR;abs/2008.11642;2020;1-5079-9720-5;318
Cryptogr.;4;2020;1-174-20641-1;310
CoRR;abs/1307.1397;2013;1-08-927415-7;106
Z. für Medienpsychologie;19;2007;0-10-416324-0;213
Central Eur. J. Comput. Sci.;2;2012;1-74925-570-7;386
Datenschutz und Datensicherheit;35;2011;1-57510-891-7;379
Softw. Pract. Exp.;33;2003;0-12-037494-3;250
Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;4;2020;0-908586-40-X;329
Inf. Manag.;57;2020;1-4883-2605-3;134
CoRR;abs/1704.00683;2017;0-513-89992-8;188
Softw. Pract. Exp.;51;2021;1-893836-28-2;222
CoRR;abs/1509.08056;2015;0-218-92558-1;311
CoRR;abs/2106.06817;2021;1-5131-4750-1;220
CoRR;abs/1603.08705;2016;0-912518-43-X;165
Softw. Pract. Exp.;10;1980;1-4580-0095-8;228
Commun. ACM;49;2006;0-8461-4822-6;332
Wirel. Pers. Commun.;81;2015;1-167-45156-2;264
J. Algorithms;14;1993;0-487-24159-2;181
CoRR;abs/1910.06149;2019;1-66077-014-9;281
CoRR;abs/1204.6653;2012;0-18-761907-7;185
MIS Q.;3;1979;1-970211-50-4;226
CoRR;abs/1510.08371;2015;0-474-58753-3;212
CoRR;abs/2109.10498;2021;1-85988-764-3;366
Parallel Comput.;14;1990;0-03-411313-4;118
CoRR;abs/1208.6464;2012;0-592-59514-5;243
Quantum Inf. Comput.;16;2016;1-78065-675-0;290
World Wide Web;21;2018;0-636-17971-0;388
CoRR;abs/1903.05210;2019;1-4258-4343-3;336
CoRR;abs/1806.09757;2018;1-69625-790-5;240
Softw. Process. Improv. Pract.;10;2005;0-609-37228-9;319
ACM Trans. Multim. Comput. Commun. Appl.;10;2014;0-18-253883-4;383
Commun. Stat. Simul. Comput.;43;2014;1-78581-344-7;341
Signal Image Video Process.;9;2015;0-03-245974-2;259
Appl. Math. Comput.;149;2004;0-394-39900-5;131
Int. J. Bus. Inf. Syst.;18;2015;1-79462-470-8;302
Int. J. Ad Hoc Ubiquitous Comput.;15;2014;0-7492-7541-3;373
Microprocess. Microsystems;23;1999;0-07-807571-8;205
J. Medical Syst.;44;2020;1-242-88304-5;145
Queueing Syst. Theory Appl.;2;1987;0-901984-54-X;245
IEEE Trans. Circuits Syst. II Express Briefs;62-II;2015;1-4786-8012-1;232
Pattern Recognit. Lett.;2;1984;0-928243-83-4;277
Ann. des Télécommunications;68;2013;0-923477-72-1;207
Australas. J Comb.;21;2000;0-455-78355-1;304
CoRR;abs/1412.3137;2014;0-276-01904-0;217
CVGIP Image Underst.;54;1991;0-285-13224-5;327
CoRR;abs/1905.02529;2019;1-69020-510-5;388
Comput. Optim. Appl.;38;2007;1-964780-02-0;329
Inf. Comput.;249;2016;0-86551-042-3;295
Int. J. Syst. Sci.;43;2012;1-244-55615-7;307
CoRR;abs/1711.08963;2017;1-349-24952-1;336
Log. J. IGPL;24;2016;1-912589-35-4;335
Inf. Process. Lett.;16;1983;0-442-60326-6;184
Math. Syst. Theory;27;1994;1-277-13404-9;350
NeuroImage;50;2010;1-03-042410-1;386
IEEE Trans. Neural Networks Learn. Syst.;30;2019;0-483-67737-X;292
CoRR;abs/1812.09427;2018;1-106-74682-1;156
CoRR;abs/1902.00473;2019;0-306-47581-2;348
CoRR;abs/1904.06008;2019;0-286-94546-0;372
CoRR;abs/1709.03032;2017;1-61397-102-8;356
Intell. Syst. Account. Finance Manag.;11;2002;1-58346-355-0;314
J. Ubiquitous Syst. Pervasive Networks;3;2011;1-84552-465-9;367
Autom.;58;2010;1-911490-90-7;156
Int. J. Semantic Comput.;14;2020;1-77783-747-2;306
IEEE Trans. Ind. Electron.;63;2016;0-08-369642-3;269
Inf. Comput.;271;2020;1-227-30569-9;384
BMC Medical Imaging;22;2022;0-13-505854-6;327
J. Biomed. Informatics;50;2014;1-4848-3250-7;315
Eur. J. Oper. Res.;174;2006;1-01-051668-X;342
CoRR;abs/2103.00623;2021;0-939811-96-0;229
J. Comput. Biol.;15;2008;1-80293-952-0;264
J. Intell. Robotic Syst.;69;2013;0-481-93284-4;253
SIAM J. Control. Optim.;44;2005;0-19-677208-7;233
CoRR;abs/1710.00187;2017;0-669-30714-9;311
Inroads;5;2014;1-66346-159-7;342
Inf.;9;2018;0-86688-715-6;177
Ars Comb.;42;1996;1-85115-954-1;255
CoRR;abs/1304.3362;2013;0-621-59921-2;390
Polibits;24;2001;0-00-846069-8;295
J. Internet Serv. Inf. Secur.;9;2019;1-84437-894-2;222
Informatica;9;1998;1-246-87361-3;149
CoRR;abs/2106.09035;2021;1-4730-6950-5;352
Softw. Test. Verification Reliab.;30;2020;0-280-24579-3;250
CoRR;abs/2202.00089;2022;0-7410-9008-2;244
J. Assoc. Inf. Syst.;15;2014;0-15-552861-0;168
CoRR;abs/0812.0601;2008;1-295-38243-1;128
CoRR;abs/2011.03381;2020;0-497-48634-2;234
IEEE Commun. Mag.;41;2003;1-367-93336-6;385
ISPRS Int. J. Geo Inf.;5;2016;0-7663-1636-X;340
Comput. Biol. Medicine;103;2018;0-372-37313-5;351
Eur. J. Law Technol.;10;2019;1-874385-95-5;384
CoRR;abs/1607.04436;2016;0-698-84095-X;370
CoRR;abs/1211.5829;2012;0-695-33516-2;287
CoRR;abs/1708.05473;2017;0-7746-7269-2;174
CoRR;abs/1412.3987;2014;1-79933-757-X;327
ACM Trans. Internet Techn.;20;2020;0-298-18374-9;348
J. Comput. Appl. Math.;287;2015;0-03-973205-3;239
CoRR;abs/1209.5441;2012;0-255-73101-9;134
Unmanned Syst.;3;2015;0-567-67421-5;302
ACM Trans. Soc. Comput.;3;2020;1-167-99739-5;379
Neural Parallel Sci. Comput.;13;2005;0-7942-7578-8;395
J. Comb. Theory, Ser. B;122;2017;1-05-842876-4;348
SIGIR Forum;46;2012;1-76977-081-X;269
Technometrics;61;2019;1-185-25757-8;148
Inf. Process. Lett.;32;1989;1-07-504163-5;104
CoRR;abs/1702.03675;2017;1-59035-984-4;203
Int. J. Comput. Math.;62;1996;0-336-36917-4;285
Games Econ. Behav.;30;2000;1-266-18351-5;348
Clust. Comput.;13;2010;1-384-22007-0;174
SIAM J. Imaging Sci.;3;2010;0-03-306970-0;356
SIGMOD Rec.;35;2006;1-251-72078-1;272
CoRR;abs/1108.3711;2011;0-9612684-0-9;126
IEEE Embed. Syst. Lett.;13;2021;0-7522-8430-4;279
Comput. Networks;35;2001;1-920284-62-1;326
CoRR;abs/2001.03976;2020;0-14-440187-8;165
