key;author;employer;country
conf/sosp/HumphriesNCWRDR21;Ofir Weisse;"University of Elbasan ""Aleksander Xhuvani""";AL
conf/icassp/ShenHWTWC19;Syu-Siang Wang;Covenant University;NG
conf/cec/AndreyAC09;L. Andrey;Universidad Autónoma Tomás Frías;BO
conf/sigsoft/BohmeP14;Soumya Paul;Stephen F. Austin State University;US
conf/ucc/ChihiCG12;Walid Chainbi;Universidad de Sonsonate;SV
conf/kes/HajjajiBF21;Wadii Boulila;Northern State University;US
conf/icphys/XuCLLS21;Yadi Xu;Fachhochschule Kiel;DE
conf/icassp/LeBlancDKJ94;Kutluyil Dogancay;Kerbala University;IQ
conf/isola/SieberHE12;René Sieber;Puntland State University;SO
conf/cloudcom/GaoMPLF10;Yu Ma;National Central University;TW
conf/clei/Carvajal-OrtizF19;Leidy Carvajal-Ortiz;Rhode Island College;US
conf/iciar/JodoinM05;Pierre-Marc Jodoin;National Dong Hwa University;TW
conf/isda/RupanagudiBNJKR18;G. Vinutha;University of Warwick;GB
conf/ipas/PaliyTKA07;Mejdi Trimeche;Tomas Bata University in Zlin;CZ
conf/rev/BragaMLSSR21;Marieliza Araújo Braga;Asia Europe University;KH
conf/dais/RetkowitzS08;Mark Stegelmann;Universidad Autónoma del Estado de México;MX
conf/micad/FischerBWGGD10;Rolf W. Günther;Kyungsung University;KR
conf/miccai/FreysingerHGBVMAESAKGTL98;Thomas Auer;Taipei Municipal Teachers College;TW
conf/enase/DelgadoWRG11;Barbara Weber;Central Baptist College;US
conf/fie/SvozilPG20;Lena Gumaelius;Zaporizhzhe National University;UA
conf/iwbis/MuzakiBHR20;Maulana Andika Hasditama;Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Grenoble;FR
conf/hci/RychlikSM13;Witold Stankiewicz;Kent State University - Salem;US
conf/airs/SongSZHHJHKRB13;Yuan Jia;Universidad Tecnologica de Nezahualcoyotl;MX
conf/ruleml/OConnorRMBTD11;Mike Bingen;Bethel College McKenzie;US
conf/3dic/MadhourZSBLTM13;Yassir Madhour;University of Basel;CH
conf/asplos/FursinMHCQC18;Yiran Chen;Institute of Science and Technology;AT
conf/sgai/PandeyML15;Sanjib Raj Pandey;Ecole Supérieure de Commerce de Marseille-Provence;FR
conf/icst/WieczorekSS08;Sebastian Wieczorek;Ningbo University;CN
conf/wacv/WildesAGHKMM94;Jane C. Asmuth;John Cabot University;IT
conf/syscon/KangYKCSL15;Hyung-Oh Kwon;Osaka Dental University;JP
conf/cdc/JiaC09;Peter E. Caines;Bard Graduate Center for Studies in the Decorative Arts;US
conf/healthcom/LuKHHLM13;Chien-Hsing Lu;Universitas 17 Agustus 1945 Samarinda;ID
conf/imis/ChangCLCC13;Han-Chieh Chao;Saint George's Hospital Medical School, University of London;GB
conf/ijcnn/WangMGCTY13;Davide Ghezzi;Kamalolmolk Art & Architecture Higher Education Institute of Noshahr;IR
conf/dgci/DauratTZ09;Mahdi Zouaoui;University of Calicut;IN
conf/indin/DuongTCT19;Umang Chaudhary;Rajarata University of Sri Lanka;LK
conf/sigir/ShokouhiJORD14;Umut Ozertem;Perlis Islamic Higher Learning Institute;MY
conf/percom/DasMBBB16;Sipra Das Bit;Tennessee Wesleyan College;US
conf/micad/TanAHSLZ16;Maxine Tan;University College of Borås;SE
conf/icdsp/BraeckmanSCDSM13;Steven Delputte;Universidad Tecnológica del Sur;DO
conf/edcc/RodriguezSFA99;Manuel Rodríguez 0001;Capital University Law School;US
conf/iscslp/LuUIKN10;Satoshi Nakamura 0001;Oglethorpe University;US
conf/icton/PinceminSBJHLRM17;J. F. Ferran;State University of New York College at Fredonia;US
conf/cogsci/RosenCSC18;Laura Staum Casasanto;The Cooper Union for the Advancement of Science and Art;US
conf/fdg/LogasWMVSMCOSSL14;Kate Compton;Nippon Dental University;JP
conf/somet/SogaKKIM21;Hideyuki Kanuka;American University of Paris;FR
conf/icis/MonchakK11;Dan Kim;Rabindra Bharati University;IN
conf/icccsec/YangYCL18;Yaming Yang 0003;Misan University;IQ
conf/im/WanghamLWF01;Michelle S. Wangham;Universidad de Camagüey;CU
conf/iros/CorrellSMHDM06;Jean-Louis Deneubourg;Rhode Island School of Design;US
conf/aaai/ZarezadeKFRZ17;Hamid R. Rabiee;Dongbei University of Finance And Economics;CN
conf/ecoc/BaierSZSEFGFSMG17;Marko Gruner;Southwest Baptist University;US
conf/wse/AlshahwanHMT09;Nadia Alshahwan;Universidad Privada Abierta Latinoamericana;BO
conf/iros/RibasRTN07;Pere Ridao;Florida Metropolitan University, Tampa College;US
conf/ifm/BaumeisterZ00;Hubert Baumeister;Southern Medial University;CN
conf/nordichi/EngelbutzederCR20;Gunnar Stevens;North Central Bible College;US
conf/siggraph/FullertonMSV09;Tracy Fullerton;Pennsylvania Academy of the Fine Arts;US
conf/interspeech/GriolRS09a;Giuseppe Riccardi;Université d'Alger 3;DZ
conf/ems/FedericiMMPV17;Mattia Micozzi;Delta International University;US
conf/mum/HeimonenTKPPSTKLKOR13;Santeri Saarinen;Netaji Subhas Inst of Technology;IN
conf/avss/LeeSL14;Heung-Il Suk;Universität Hannover;DE
conf/iswcs/LiaoWW16;Yuewei Wu;Madhya Pradesh Bhoj (Open) University;IN
conf/syscon/LinsGCB15;Romulo Gonçalves Lins;Universidade Metodista de Angola;AO
conf/icmc/DuaneP09;Bryan Pardo;California State University, Chico;US
conf/ispa/SpadaSDCSSPGPBLSP14;Gianluca C. Durelli;American College of Greece;GR
conf/emnlp/KimKLLKJ0KKSLJL21;Minsub Kim;Ross University, School of Medicine;US
conf/isbi/SouzaLBGARLF18;Simone Appenzeller;Universidad APEC;DO
conf/mixdes/GluszkoTD17;Krzysztof Domanski;Silesian University;CZ
conf/iccS/ChenYSBL06;Jiajun Bu;Kendall College;US
conf/icon/GanSZSI13;Wei Gan;Nkumba University;UG
conf/isscc/BellEACJLMRBBMMRWABFKMSZ08;Chyi-Chang Miao;Korea National University of Physical Education;KR
conf/cis/ZhangCZG16;Zhengwei Geng;Ludwig-Maximilians-Universität München;DE
conf/vnc/JainLFHGGGCEAZG17;Hanwen Cao;Royal University of Phnom Penh;KH
conf/icits2/CoelhoLVCRVCSUF21;Lucas Lampier;Asian Management Institute;PK
conf/nems/ZhaoHHZLYZ14;Li Zhang;Engineering College of Copenhagen;DK
conf/icccn/GabaVIS12;Maarten van Steen;University of Lahore;PK
conf/cascon/Emami-TabaAT14;Mahsa Emami-Taba;Sankei University;JP
conf/etfa/RamirezJGTLT14;M. I. Fernandez Garcia;Kyoto University of Education;JP
conf/amps/RensRHBD18;Johan Rens;Université Senghor d'Alexandrie;EG
conf/cf/MoazeniBS09;Maryam Moazeni;Nirma University;IN
conf/cis/ZhaWSW14;Lei Wang;Yorker International University, Milano;IT
conf/ngi/PolyzosMAFFPMHFO11;Stamatios Arkoulis;Dalian University of Technology;CN
conf/worldcist/McGonigleHHSHL15;Jean Lamblin;Northwestern College of Chiropractic;US
conf/ihc/NascimentoSFOSI16;Thamer H. Nascimento;Universidade Federal de Minas Gerais;BR
conf/concur/HewittRAA84;Tom Reinhardt;South Dakota School of Mines and Technology;US
conf/icdcs/Wu0HZC16;Xiaomei Zhang;Silpakorn University;TH
conf/amcc/WeiWWJL08;Q. H. Wu;Tel Aviv University;IL
conf/icmcs/TangZZT16;Jingya Tang;Samar State University;PH
conf/hpdc/ChandyRSMRTW96;K. Mani Chandy;University of Nevada - Reno;US
conf/enc/Rangel-KuoppaAM03;Risto Rangel-Kuoppa;University of Illinois;US
conf/igarss/CaoBW16;Slawomir Blonski;Vitebsk State University;BY
conf/iciis/ChandrasekarKK08;S. Karthikeyan;Oslo School of Architecture;NO
journals/procedia/RaghavendraRK10;G. Hemantha Kumar;Hazara University;PK
conf/allerton/ZouLPS14;Xinghua Shi;East-West University, Mohakhali;BD
conf/mm/VianaCAJPTVPC20;Maria Teresa Andrade 0001;Universitas Sumatera Utara;ID
conf/vlsic/BandyopadhyayAN14;Thomas Tansley;Western Michigan University;US
conf/fdg/CanaanSTN19;Julian Togelius;National Yunlin University of Science and Technology;TW
conf/globecom/YanLXDZZL19;Hui Li;Ohio Valley College;US
conf/euvip/AlzahraniAA19;Waleed Al-Nuaimy;Royal College of Music, University of London;GB
conf/ucet/ZidaneAAKHF20;Erik Kampert;Management Development Institute of Singapore, Tashkent;UZ
conf/icira/HeXZ14;Keke Zhang;Université d'Oran Es-Senia;DZ
conf/eurohcir/VillaCHR13;Sophie A. Rutter;Khulna University;BD
conf/adhoc-now/FunkeF10;Rafael Funke;South China University;CN
conf/ics/BalasundaramK89;Vasanth Balasundaram;University of Health Sciences Andhra Pradesh;IN
conf/iceis/ChamekhTB13;Guilaine Talens;Instituto Superior de Saúde do Alto Ave;PT
conf/igarss/YuLSCLLX19;Jie Chen 0009;St. Petersburg State Institute of Technology (Technological University);RU
conf/ism/TsaiP08;Yu-Nan Pan;University of Osteopathic Medicine and Health Science;US
conf/icsoc/VillalongaSSSBKZGD07;Michael Sutterer;Tui Online University;US
conf/spire/BadkobehGIKKP17;Travis Gagie;Bashkir State University;RU
conf/webmedia/JuniorMSBA21;Philipe F. Melo;Wilson College;US
conf/icassp/ChenOA04a;Ying-Jui Chen;Magnitogorsk State University;RU
conf/icccn/KohlstruckG21;Reinhard Gotzhein;Georg-August Universität Göttingen;DE
conf/aspdac/GaoYZWY11;Yan Wang 0023;Iwate Prefectural University;JP
conf/icecsys/BatinaHMMV10;Joren Moelans;Koriyama Women's University and College;JP
conf/models/SanchezZRKP19;Richard F. Paige;York College of Pennsylvania;US
conf/ecms/FeldmeierH17;Thomas Husslein;Marist College;US
