key;title;keywords;abstract;booktitle;year;isbn;reviewers;review_text;pages;author;employer;country
conf/ap2ps/SongKS09;Replica Placement Algorithm for Highly Available Peer-to-Peer Storage Systems.;highly|replica placement algorithm|peer-to-peer storage systems|Data Storage|Cloud Computing;Voluptatem neque sit quaerat ut. Magnam voluptatem aliquam eius consectetur dolore magnam. Adipisci sed dolor amet sed labore numquam ipsum. Etincidunt dolorem sit tempora dolore consectetur. Amet numquam dolor ipsum etincidunt sit porro. Numquam quiquia est amet amet neque amet. Etincidunt adipisci labore ut.;AP2PS;2009;1-65189-591-0;Arturo Rodríguez-Cristerna|Jun Zhang 0010|Adithya Rao;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;11;Daeil Seo;Universidad Catolica de Temuco;CL
conf/dagm/PopplHSS80;Untersuchungen von Filter- und Konturfindungsalgorithmen auf projizierten Körperphantomen mit überlagerter Poisson-Statistik.;Blockchain|poisson-statistik|konturfindungsalgorithmen|Graph Theory|konturfindungsalgorithmen;Aliquam modi labore consectetur labore ut. Velit adipisci magnam aliquam magnam quaerat amet ipsum. Dolor etincidunt dolorem adipisci dolor velit quisquam. Numquam velit velit numquam consectetur voluptatem est tempora. Sit dolor aliquam quaerat dolorem ipsum dolor. Amet dolorem quaerat quiquia eius numquam ipsum.;DAGM-Symposium;1980;1-55944-472-X;Hongxia Luo|Konstantinos Sagonas|Javier Villafruela;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;11;Grit Herrmann;University of Wisconsin - Stevens Point;US
conf/interspeech/IssingFG15a;Advanced time shrinking using a drop classifier based on codec features.;advanced|Data Querying|advanced|drop classifier|Data Querying;Ut consectetur non velit sit sed amet. Dolore est quisquam dolore. Quiquia neque sit sit consectetur ipsum magnam sit. Velit ut eius labore dolor. Quaerat dolore velit quisquam. Dolore quaerat ut magnam aliquam. Quiquia velit labore quisquam magnam ut voluptatem.;INTERSPEECH;2015;0-89710-477-3;Alberto Argiles|Getachew Alemu|Nanette Bauer;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;29;Jochen Issing;Ufa State Aviation Technical University;RU
conf/icip/BaiZWZ12;Stereo video coding using distributed compressive sensing with joint dictionary.;Fintech|joint dictionary|joint dictionary|Fintech|GANs;Ut sit voluptatem labore neque sit quaerat modi. Dolore etincidunt velit sed quiquia dolore adipisci. Amet dolore etincidunt porro dolore. Porro ut quisquam voluptatem eius. Eius velit quiquia sed. Magnam non dolore modi dolor. Magnam quaerat magnam magnam velit est ut sed. Porro non eius sit sit tempora labore porro. Labore tempora porro dolorem ipsum modi sit dolor. Sit magnam ipsum eius sed tempora modi eius.;ICIP;2012;1-67898-062-5;W. Leidl|Sub Ramakrishnan|G. Santhi;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;27;Anhong Wang;University of Jos;NG
conf/semcco/SahooAPK13;A Tree Based Chemical Reaction Optimization Algorithm for QoS Multicast Routing.;qos multicast routing|tree based|tree based|optimization algorithm|Blockchain;Adipisci non neque est sed quisquam. Eius quaerat non dolorem aliquam amet. Eius aliquam quaerat dolore porro sed quaerat aliquam. Sit eius non ut velit. Adipisci sed ut sed dolor consectetur. Numquam voluptatem labore dolorem. Consectetur velit numquam adipisci sed.;SEMCCO (1);2013;1-9815-6109-9;Javier Bajo|Masayuki Kakio|Yasutada Oohama;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;23;Manas Ranjan Kabat;Universität Fridericana Karlsruhe (Technische Hochschule);DE
conf/dac/EspinosaHAAR15;Analysis and RTL correlation of instruction set simulators for automotive microcontroller robustness verification.;Data Storage|Data Storage|Big Data|automotive microcontroller robustness verification|Cloud Computing;Dolorem sit aliquam magnam adipisci. Ut consectetur quaerat tempora modi. Neque magnam dolore magnam adipisci quaerat. Tempora tempora velit quiquia dolorem. Tempora dolore modi velit velit aliquam. Adipisci magnam dolor dolor est labore aliquam. Labore ut numquam sed est amet quisquam velit. Voluptatem neque sit amet porro ipsum ipsum modi.;DAC;2015;0-392-07599-7;Jiaze Wang|Andreas Guta|Jan Leupold;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;16;Carles Hernández;DeVry Institute of Technology, Columbus;US
conf/sigir/ChaidaroonFXM19;Neural Compatibility Ranking for Text-based Fashion Matching.;Data Storage|text-based|Data Storage|text-based|Data Storage;Dolor neque ipsum neque amet. Voluptatem quisquam consectetur tempora etincidunt quisquam quaerat. Adipisci modi adipisci modi non dolorem ipsum dolore. Magnam dolor est sit. Voluptatem porro ut quisquam quaerat sit modi. Amet voluptatem quaerat modi tempora porro aliquam. Adipisci amet neque ut porro. Velit consectetur ipsum dolor magnam. Magnam numquam ut neque voluptatem quaerat. Est numquam adipisci magnam ut magnam.;SIGIR;2019;0-205-43097-X;Mai Zheng|Ying Liang|Qingsong Xu;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;18;Alessandro Magnani;Petru Maior University of Targu Mures;RO
conf/cbms/LongTGN98;Multimedia Biomedical Database Tools for Digital X-rays.;Big Data|Big Data|multimedia biomedical database tools|multimedia biomedical database tools|GANs;Amet dolor quaerat non ut aliquam non. Magnam adipisci est dolorem eius magnam numquam. Sed dolor ut porro. Sed labore est sit neque. Ut dolorem numquam aliquam velit sed eius modi. Quiquia voluptatem quiquia dolor aliquam modi. Velit sit sit numquam voluptatem non modi dolore. Magnam modi dolorem modi est quisquam.;CBMS;1998;1-5385-7174-9;Teerapat Sanguankotchakorn|Rafika Abderahim|Kotaro Matsuda;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;20;George R. Thoma;University of Hawaii - Hilo;US
conf/bmsb/MonksOM19;Buffer-Aware Dynamic Adaptive Streaming over Content Centric Networks.;content centric networks|content centric networks|content centric networks|Data Querying|Data Management;Non dolor ut est. Est quaerat voluptatem adipisci. Aliquam labore tempora magnam numquam quisquam neque. Dolor ut velit labore consectetur tempora est quaerat. Numquam quiquia consectetur ipsum adipisci ipsum. Sed dolorem sed dolore.;BMSB;2019;0-00-081979-4;Kamil Borawski|Fabio A. González|Gabriel Barbosa da Fonseca;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;5;Aida Olaru;Kenyatta University;KE
conf/ifipTCS/Gruska06a;From Informatics to Quantum Informatics.;Data Modeling|Data Management|quantum informatics|quantum informatics|informatics;Sit aliquam etincidunt ipsum. Consectetur porro aliquam numquam velit sit dolore. Eius voluptatem amet sit adipisci. Quiquia porro est numquam neque adipisci adipisci. Sed neque non quisquam sed adipisci. Tempora etincidunt consectetur consectetur. Est adipisci ut amet tempora. Voluptatem tempora amet non modi porro dolorem labore.;IFIP TCS;2006;0-406-43367-4;Jungwoo Ryoo|Kanglin Xie|Savita Verma;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;15;Jozef Gruska;Ocean University of China;CN
conf/ni/KimP12;Development and Evaluation of structured data entry templates based on data model for clinical decision support on pressure ulcer management.;Fintech|pressure ulcer management|GANs|data model|Data Management;Eius dolorem dolorem est aliquam dolor. Consectetur sit modi porro quaerat etincidunt. Consectetur quaerat sit dolore. Amet aliquam ut amet dolorem dolore etincidunt etincidunt. Quaerat dolor sit magnam dolore.;Nursing Informatics;2012;0-88097-321-8;Dew Harrison|Sultan Durrani|Massimo Tivoli;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;1;Hyeoun-Ae Park;The Global College Lahore;PK
conf/hci/SalinasQSM15;Towards a Visual and Tangible Learning of Calculus.;calculus|tangible learning|calculus|Graph Theory|Graph Theory;Dolor porro numquam labore adipisci ipsum numquam. Quiquia labore neque labore ut. Modi voluptatem numquam adipisci dolore consectetur porro est. Est quiquia labore dolorem ut modi dolor ipsum. Labore est velit consectetur porro adipisci aliquam. Quiquia sed dolor eius est porro quaerat labore.;HCI (28);2015;1-876258-21-7;John F. Walker|Stefan Trausan-Matu|Mika Peck;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;21;Eduardo González Mendívil;Babol University of Medical Sciences;IR
conf/nips/HuHS17;MaskRNN: Instance Level Video Object Segmentation.;Classification|instance level video object segmentation|maskrnn|Regression|instance level video object segmentation;Numquam quiquia neque tempora magnam dolorem dolorem voluptatem. Amet modi consectetur labore ipsum dolore magnam. Etincidunt quiquia aliquam eius sed magnam. Numquam amet modi voluptatem consectetur. Non quiquia tempora labore voluptatem. Dolore sed eius sed tempora ipsum modi. Quaerat quisquam labore velit porro quisquam tempora. Sit adipisci aliquam non amet. Neque eius modi dolore.;NIPS;2017;0-11-143276-6;Xiangyu Cao|Sina Khorasani|Anahita Davoudi;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;16;Alexander G. Schwing;Aarhus School of Business;DK
conf/afips/GilchristW72;Sources of trained computer personnel: a quantitative survey.;sources|sources|quantitative survey|sources|Graph Theory;Magnam dolorem neque numquam labore etincidunt non modi. Etincidunt tempora consectetur quisquam amet consectetur. Dolore quiquia tempora est aliquam voluptatem porro numquam. Consectetur modi quaerat dolorem sed ipsum eius. Aliquam sed quiquia ut neque aliquam quaerat. Porro aliquam ut sed quisquam. Adipisci sit amet tempora numquam consectetur dolorem eius.;AFIPS Spring Joint Computing Conference;1972;1-60868-952-2;Kazuhiko Tsuda|Javad Ebrahimi-Zadeh|Andrew S. Forsberg;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;21;Bruce Gilchrist;Ecole Spéciale de Mécanique et d'Electricité;FR
conf/eurocrypt/FlajoletO89;Random Mapping Statistics.;Semantic Data|Data Querying|Classification|mapping statistics;Est eius quaerat velit. Neque adipisci eius dolore dolorem modi dolore est. Porro eius sed labore. Tempora dolor sed tempora modi labore. Porro etincidunt modi etincidunt neque quisquam magnam. Aliquam adipisci velit labore etincidunt ipsum. Est voluptatem velit ut quisquam.;EUROCRYPT;1989;1-06-536429-6;Jari Avikainen|Juan Carlos Fernández 0001|Christophe G. Giraud-Carrier;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;17;Andrew M. Odlyzko;Ivanovo State University;RU
conf/miccai/KandelWGA14;Single-Subject Structural Networks with Closed-Form Rotation Invariant Matching Improve Power in Developmental Studies of the Cortex.;Data Management|improve power|cortex|Data Management|single-subject structural networks;Porro amet labore neque velit amet. Consectetur quaerat etincidunt sed est non eius. Quisquam ipsum quaerat tempora modi neque voluptatem. Est voluptatem non consectetur tempora. Neque eius non consectetur quiquia labore. Porro tempora dolore est. Amet adipisci sit etincidunt ipsum velit. Etincidunt numquam quaerat quisquam modi quisquam.;MICCAI (3);2014;1-206-75938-0;Ravi Kumar Saidala|John Langford 0001|Kenneth J. Goldman;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;12;Benjamin M. Kandel;Kurgan International University;RU
conf/cvpr/WangCYKY21;EvDistill: Asynchronous Events To End-Task Learning via Bidirectional Reconstruction-Guided Cross-Modal Knowledge Distillation.;bidirectional reconstruction-guided cross-modal knowledge distillation|SVMs|end-task learning|SVMs|evdistill;Porro adipisci porro magnam sed. Neque neque modi amet amet. Etincidunt ut labore non sit numquam dolore. Magnam eius ut adipisci modi. Magnam sed dolorem sed dolor. Tempora ut porro tempora. Velit consectetur aliquam quisquam quaerat sit. Voluptatem sit etincidunt quaerat tempora magnam.;CVPR;2021;0-693-68521-2;Eutteum Jo|Daniel Limón|Tatsuya Kawahara;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;4;Kuk-Jin Yoon;Eastern University of Sri Lanka;LK
