key;author;employer;country
journals/glottometrics/KelihPA14;Emmerich Kelih;Weizmann Institute of Science;IL
journals/asc/KulkarniSS13;Kinattingal Sundareswaran;Laboratory Institute of Merchandising;US
journals/monet/KangDL18;Gongliang Liu;Mara Poly-Tech College;MY
journals/rfc/rfc6687;Jaudelice Cavalcante de Oliveira;Universidade Católica de Petrópolis;BR
journals/corr/abs-1811-04350;Gyujeong Lee;Kannada University;IN
journals/corr/abs-1202-3046;Chitrita Chaudhuri;Princess Nora Bint Abdulrahman University;SA
journals/cviu/GilbertB17;Andrew Gilbert;Kyushu University;JP
journals/ijss/GulledgeHLS05;Carsten Svensson;Universidade Vale do Paraiba;BR
journals/scl/ZhouDL09;Bin Zhou 0001;Universidade do Minho;PT
journals/cce/JanakLF07;Christodoulos A. Floudas;George Wythe College;US
journals/corr/HadguNN16;Asmelash Teka Hadgu;Université Catholique de Louvain;BE
journals/jei/ScottM01;David M. Scott;Université de l'Uélé;CD
journals/jpc/Karr10;Alan F. Karr;Europa-Universität Viadrina Frankfurt (Oder);DE
journals/wpc/ShindeKU14;Jayashree P. Shinde;Francis Marion University;US
journals/vlsisp/KacemH14;A. Ben Hamza;School of Economic Sciences;IR
journals/wicomm/QuYJZ12;Daiming Qu;Bangabandhu Sheikh Mujibur Rahman Medical University;BD
journals/aei/BatanovL93;Anna K. Lekova;Qauid-e-Awam University of Engineering Sciences & Technology;PK
journals/tbcas/FarhaniehSREB17;Ali Sahafi;Ecole Supérieure de Commerce de Brest;FR
journals/siamcomp/EiterIM01;Kazuhisa Makino;Military Technical College;EG
journals/bmcbi/Ruiz-BlancoAGAA17;Agostinho Antunes;Dav University;IN
journals/corr/abs-1902-08653;Charles Jeon;"Free University Institute ""Carlo Cattaneo""";IT
journals/informaticaLT/LaukaitisPO18;Algirdas Laukaitis;National Tsinghua University;TW
journals/ia/AlbertiC05;Federico Chesani;Danville Area Community College;US
journals/ijaeis/SB19;Maya Gopal P. S.;Chongqing University of Science and Technology ;CN
journals/saem/SuhagSS13;Ashok Kumar Suhag;Madurai Kamaraj University;IN
journals/agis/GaoR00;R. Ramsaran;Nayanova University;RU
journals/ijmi/WangL07;Yunli Wang;Instituto Politécnico Nacional, Campus Guanajuato;MX
journals/corr/abs-1903-04188;Lukás Sekanina;Herzen State Pedagogical University of Russia;RU
journals/algorithmica/AttiyaEST10;Hadas Shachnai;University of Sadat City;EG
journals/corr/abs-2104-03374;André Luckow;Universidad de Colima;MX
journals/jssc/SadhuTHSRRSHMBW17;Alberto Valdes-Garcia;The McGregor School of Antioch University;US
journals/jsyml/OkadaT99;Kazushige Terui;Mississippi State University;US
journals/ijon/ZhangLSZ20;Gangwei Li;Ganja State University ;AZ
journals/nms/Cheong08;Pauline Hope Cheong;Korea National University of Arts;KR
journals/iet-com/FlanaganMF09;Anthony D. Fagan;Universidad Odontológica Dominicana;DO
journals/access/WangZ21;Shijie Zhang;Royal College of Physicians of Ireland;IE
journals/jdcta/ZhiLQ10;Huang Zhi;Deaconess College of Nursing;US
journals/jcis/Li20;Jingquan Li;Hartwick College;US
journals/jirs/SamyPG09;Da-Wei Gu;Azad Jammu and Kashmir University;PK
journals/ita/CoudertM94;Jean Christophe Madre;Islamic University College;GH
journals/corr/abs-2108-10939;Charangan Vasantharajan;Montana State University - Northern;US
journals/phycomm/VoKRD21;Mubashir Husain Rehmani;Catholic University in Zimbabwe;ZW
journals/corr/abs-1907-01620;Arpit Shah;Azabu University;JP
journals/access/AlrashdiSAAA21;Ibrahim Alrashdi;Meredith College;US
journals/ijgcms/DiPietro09;Joseph DiPietro;Altai State University;RU
journals/corr/abs-2108-07504;Chen-Feng Liu;Universidad Yacambu;VE
journals/winet/XuLL03;Bo Li 0001;Islamic Azad University, Fars Science & Research Branch;IR
journals/fss/WaegemanVSB11;Bernard De Baets;Instituto Politécnico de Tomar;PT
journals/kybernetika/MontvidaK14;Frank Klawonn;Universidad España de Durango;MX
journals/jocs/kherZEK21;Israa Zeid;Woodbury University;US
journals/ijcim/BankoleRSCJ12;Essam Shehab;Universidad Internacional de Andalucía;ES
journals/corr/abs-2201-01277;Anand Singh Jalal;University of Utah;US
journals/crl/Walter13b;Scott Walter;Vermont Law School;US
journals/eor/ZhuHJK17;Afaq Khattak;State Maritine Academy;RU
journals/icl/LiHZ21a;Di Zhao;Third University of Rome;IT
journals/tcyb/ZhangYSGZ19;Chen Gong 0002;Green Mountain College;US
journals/ral/LippielloFR18;Fabio Ruggiero;Trinity University School of Medicine;VC
journals/cgf/WeilerKBB18;Dan Koschier;Lyndon State College;US
journals/pr/ChenWYK20;He-Feng Yin;Moldova Technical University;MD
journals/corr/abs-1908-03389;Hiroshi Eto;Phillips-Universität Marburg;DE
journals/corr/abs-2003-12909;Adish Singla;The University of Nottingham Ningbo China;CN
journals/corr/abs-1806-09835;Daniel Beck;University of Stirling;GB
journals/mia/JiangZHYM16;Dimitris N. Metaxas;South-East Asia University;TH
journals/sLogica/Meyer01;Thomas Andreas Meyer;West Virginia University;US
journals/candc/MengH18;Li Meng;Asbury College;US
journals/usenix-login/Kenneally02b;Erin Kenneally;Université Mouloud Mammeri de Tizi Ouzou;DZ
journals/jifs/BulbulIA19;Hazrat Ali;Webster University North Florida;US
journals/jacm/Pavlidis72;Theodosios Pavlidis;Kentucky State University;US
journals/tc/YangHC19;Jian-Jia Chen;Luxun Academy of Fine Art;CN
journals/fttiom/KouvelisS07;Panos Kouvelis;Tongji Medical University;CN
journals/cin/HuL12;Hualou Liang;Kuala Lumpur Metropolitan University;MY
journals/information/WangH20;Guangmin Hu;Southwestern College Kansas;US
journals/corr/ChristKF16;Andreas W. Kempa-Liehr;European University;CH
journals/jmlr/GuoH020;Qiang Wu 0003;Vyatka State Pedagogical University;RU
journals/eswa/ParkRK13;Hyunseok Park;Universidad Nacional Abierta y a Distancia;CO
journals/sp/Ma21a;Li Ma;Politeknik Negeri Pontianak;ID
journals/corr/abs-2108-02452;Chunyu Wang;Methodist College;US
journals/corr/Matni14;Nikolai Matni;University of Commerce Luigi Bocconi;IT
journals/tsi/Giroudeau05;Rodolphe Giroudeau;University of Southern Mindanao;PH
journals/tbe/VandenhoutenLLG00;Manfred Lambertz;Universidad Tecnológica Indoamérica;EC
journals/apal/Scowcroft11;Philip Scowcroft;Universidad Tecnológica Indoamérica;EC
journals/candc/ZenginRACSAMRM18;Adriano Mollica;NAES College;US
journals/automatica/ZhangT09;Ya Zhang 0001;Universidad de Flores - Buenos Aires;AR
journals/tcom/BelloB73;Charles J. Boardman;California School of Professional Psychology - Berkley/Alameda;US
journals/cl/Barman82;Mervyn Barman;Keiwa College;JP
journals/isci/GolabiHD18;Habibollah Danyali;Universidad Tecnológica Equinoccial;EC
journals/tnn/FahimiDAMG21;Cuntai Guan;Université Moulay Ismail Meknès;MA
journals/corr/abs-0901-1954;Hien Quoc Ngo;Universidad Autónoma del Caribe;CO
journals/tkde/EfteliogluSKF16;Christopher Farah;Bluffton College;US
journals/tsp/KhosraviK17;Adel Khosravi;Polytechnic University of the Philippines;PH
journals/mss/Lahiri02;Somdeb Lahiri;Niagara University;US
journals/ibmsj/NickMCB97;Brian B. Moore;Freed-Hardeman University;US
journals/corr/abs-2104-12870;David Qiu;Kahramanmaras Sütcü Imam University;TR
journals/arobots/SimanekKR15;Jakub Simanek;Universidad Central;BO
journals/ijpr/Erkayman19;Burak Erkayman;Universidad Regiomontana;MX
journals/mis/AhmedYBK16;Dongkyun Kim;National Taiwan Ocean University;TW
journals/tac/Ziya08;Serhan Ziya;Indian Institute of Science;IN
journals/vc/JiaZPWY20;Guodong Wang 0001;Kazan State Pedagogical University;RU
journals/electronicmarkets/Lieberman97;Sidney Lieberman;South University of Science and Technology of China ;CN
journals/tip/Papari14;Giuseppe Papari;Tottori University;JP
journals/corr/abs-cs-0412001;Bruno Marmol;Daiichi College of Pharmaceutical Sciences;JP
journals/network/KarlssonM07;Gunnar Karlsson;Bridgewater College;US
journals/jirs/BouabdallahBGGBHSGBS11;Alain Brenzikofer;Academy of Economics in Katowice;PL
journals/masa/VargheseJS13;Eldho Varghese;Institut Supérieur d'Agriculture Lille;FR
journals/tpds/GopiM97;Meenakshisundaram Gopi;Kyonggi University;KR
journals/ijet/IsiakaOOO16;Elijah O. Omidiora;Universidad Nacional de La Matanza;AR
journals/iacr/BernsteinL14;Daniel J. Bernstein;Kent State University - Trumbull;US
journals/tbd/ChenZHCLM17;Bin Hu 0001;Masdar University Of Science And Technology;AE
journals/concurrency/PoggiD99;Agostino Poggi;Theologische Fakultät Trier;DE
journals/jvcir/HuangXHYH19;Honghe Huang;University of Hawaii - Hilo;US
journals/mss/HanD21;Adrian Van Deemen;Institute of Advanced Legal Studies, University of London;GB
journals/corr/abs-2101-02147;Faisal Bashir Hussain;Ural Gorkij State University;RU
journals/ijmi/YuLG09;Haocheng Li;Universidade Metropolitana de Angola;AO
journals/jolis/MooreC10;Chris Moore;Viterbo College;US
journals/jair/FelnerKH04;Ariel Felner;Freie Universität Berlin;DE
journals/ijhpca/BorghesiBMB19;Andrea Bartolini;Bryan College;US
journals/isu/Bolman06;Pieter Bolman;Engineering Faculty of Asian University;TH
journals/corr/abs-2006-01261;Ahmed H. Tewfik;University of Gastronomic Sciences;IT
journals/siamma/ChermisiC10;Milena Chermisi;United States International University;US
journals/remotesensing/MiliaresisD09;Demitris Delikaraoglou;Texas Lutheran University;US
journals/wcl/ZhangWC22;Huihui Wu;Tel Aviv University;IL
journals/ijon/LiuLSS16;Mel W. Siegel;China Agricultural University;CN
journals/mva/HoHS92;Jonathan J. Hull;Jami Institute of Technology;IR
journals/access/SurinkaewESIM21;Kianoush Emami;Shanghai Ocean University;CN
journals/tim/ZikmundJUK15;Ales Zikmund;Mills College;US
journals/corr/abs-0908-0893;Moustafa Seifeldin;Shimonoseki City University;JP
journals/jcde/AalaeAGO15;Abderrahmane Habbal;Wayne State University;US
journals/jgo/Zhang0H06;Binwu Zhang;Indian Statistical Institute;IN
journals/vlsisp/SurisRA11;Adolfo Recio;Universidad Estatal de Bolívar;EC
journals/jscic/LiLY07;Ningning Yan;Pedagogical University of Czestochowa;PL
journals/tac/MiahFS17;Davide Spinello;Universitas Lambung Mangkurat;ID
journals/ijdsn/YangLWW15;Dandan Wang 0004;Newberry College;US
journals/tcad/KujiTN86;M. Nagatani;Athabasca University;CA
journals/mta/PakKPSKYK21;Chanil Pak;Tata Institute of Social Sciences;IN
journals/isr/MengHT21;Lin Hao;Edgewood College;US
journals/compnet/Khor16;Susan Khor;Pak-AIMS (American Institute of Management Sciences);PK
journals/siamma/BotheP07;Dieter Bothe;Kaluga State Pedagogical University;RU
journals/arscom/LinJ13;Jenq-Jong Lin;Jamia Hamdard University;IN
journals/tie/MukhopadhyayMBB18;Ambarnath Banerji;Universidad Católica de Ávila;ES
journals/jea/BurkeS99;Edmund K. Burke;Western Kentucky University;US
journals/corr/abs-1812-09922;John Glossner;Ohio Dominican College;US
journals/tits/SonmezTOE21;Atay Ozgovde;University of Liberal Arts;BD
journals/corr/abs-1002-0745;Faisal al-Adwani;Taeshin Christian University;KR
journals/wpc/LiWSGH17;Jurong Hu;Jerash Private University;JO
journals/corr/abs-2009-11463;Paraschos Koutris;Ho Chi Minh City University of Pedagogics;VN
journals/corr/abs-1101-5046;Géraud Sénizergues;Mariano Marcos State University;PH
journals/neuroimage/DerisMRWM17;Bernd Weber 0001;Doane College;US
journals/swevo/Ramos-FigueroaQ21;Efrén Mezura-Montes;University of Connecticut at Avery Point;US
journals/entropy/SongS21;Heemang Song;Franklin College Switzerland;CH
journals/jdwm/KretowskiG07;Marek Grzes;University of Chemical Technology and Metallurgy;BG
journals/access/LuanMWXLC20;Hongbin Wang;University of Regina;CA
journals/corr/abs-1303-3692;Gang Liao;Institute of Teachers Education, Tawau;MY
journals/tcst/Semsar-KazerooniK10;Elham Semsar-Kazerooni;Showa College of Pharmaceutical Sciences;JP
journals/ipm/TagueN87;Jean Tague;Middlesex University;GB
journals/tit/DasRV21;Aditya Ramamoorthy;Mount Ida College;US
journals/complexity/YangWZXZ19;Bin Yang;Don Mariano Marcos Memorial State University;PH
journals/corr/abs-1712-07867;Edita Mácajová;Royal University of Law and Economics;KH
journals/scc/GrievesDD18;Paul A. Dudchenko;University Campus Suffolk;GB
journals/jct/EisfeldSS01;Jörg Eisfeld;Howard University;US
journals/cbsn/Hoffman98;Hunter G. Hoffman;University of West Los Angeles;US
journals/tit/ZhaoL21;Lifeng Lai;California College of Podiatric Medicine;US
journals/corr/abs-2005-07335;Marcel Santana Santos;National Tainan Teachers College;TW
journals/it/ScatturinEB21;Lara Scatturin;University of Pavia;IT
journals/ijim/BilicEE20;Leonardo Bilic;London School of Hygiene & Tropical Medicine, University of London;GB
journals/tkdd/WuA18;Charu C. Aggarwal;National Defence Medical College;JP
journals/jolpe/SLPSKPPK18;Milan Patnaik;National Taiwan Ocean University;TW
journals/sp/BakerB08;Mark Baker;Wakayama University;JP
journals/cvm/ChengLLZRT19;Ming-Ming Cheng;New College of Florida;US
journals/entropy/Lipatov99;Yu. S. Lipatov;Eurasia International University;AM
journals/widm/ElAdelZA19;Asma ElAdel;Ural State Academy of Railway Transport;RU
journals/iacr/Bursuc15;Sergiu Bursuc;Royal Free Hospital School of Medicine, University of London;GB
journals/netmahib/SinghK20;Awanish Kumar;AgroParisTech;FR
journals/bmcsb/JenkinsonG11;John Goutsias;Université Bordeaux I;FR
journals/remotesensing/AsnerVBBH20;Christopher Balzotti;Valley City State University;US
journals/mam/Loh95;Wai Lung Loh;Sullivan College;US
journals/ibmrd/Lew83;John S. Lew;Sul Ross State University;US
journals/dcc/NastaseS17;Esmeralda Nastase;Koforidua Polytechnic ;GH
journals/ol/StripinisPZ18;Julius Zilinskas;Ecole Supérieure de Chimie Physique Electronique de Lyon;FR
journals/fgcs/BudgagaMPHBP16;F. Jay Breidt;Liaquat University of Medical & Health Sciences Jamshoro;PK
journals/nca/VillamizarGSM17;Alberto Sanfeliu;Indian Institute of Information Technology and Management - Kerala;IN
journals/ijes/EberleGSG08;Hans Eberle;Nayanova University;RU
journals/tit/NeuhoffS82;David L. Neuhoff;Universidad Autónoma de Zacatecas;MX
journals/ejasp/TakedaA11;Fumiyuki Adachi;Southwestern Adventist University;US
journals/access/HuangSLYHWP20;Fan Yang 0067;Xavier University;US
journals/cnsns/EmelianovaKTSC14;Alexander P. Kuznetsov;Guizhou University;CN
journals/ets/MesfinGGH18;Gebremariam Mesfin;South Asian University;IN
journals/spic/MaL12;Fabrice Labeau;New College of Florida;US
journals/ijac/GuptaP07;Inder Bir S. Passi;Universidad Autonoma  de Durango;MX
journals/jgo/Dickinson14;Peter J. C. Dickinson;University of Moratuwa;LK
journals/snam/MungenK18;Ahmet Anil Müngen;Universidad Nacional de Luján;AR
journals/nar/AttwoodBBDMP97;A. D. Michie;University of North Bengal;IN
journals/ieicet/OhL06;Jung-Yeol Oh;Islamic Azad University, Mobarakeh;IR
journals/pr/Zamperoni82;Piero Zamperoni;International University in Germany;DE
journals/mbec/LiuCF11;Huang Xia Fei;Hochschule Magdeburg-Stendal (FH);DE
journals/sigcse/FosdickM79;Howard Fosdick;National American University, Denver;US
journals/ress/NiuJ17;Gang Niu 0004;Pennsylvania State University Great Valley;US
journals/acta/LeeWS04;Chin-Chia Wu;University of Warsaw;PL
journals/rsa/ClementiCDFPS16;Andrea E. F. Clementi;Groupe Sup de Co Montpellier;FR
journals/corr/abs-2001-03577;Daniela Tuninetti;Universidade Estadual do Norte Fluminense;BR
journals/sigarch/DerisB07;Amirali Baniasadi;University of Benghazi;LY
journals/tcs/BergerFNP07;André Berger;Universidad Católica del Táchira;VE
journals/ercim/CallieriSS11;Elisabetta Sonnino;Korea National University of Arts;KR
journals/tcom/FilhoY09a;José Cândido Silveira Santos Filho;Universidad Nacional de San Juan;AR
journals/tcs/AielloAW77;Luigia Carlucci Aiello;Fachhochschule Offenburg, Hochschule für Technik und Wirtschaft;DE
journals/pami/LinH16;Yameng Huang;Jingdezhen China Institute;CN
journals/mlq/FreytesD13;Graciela Domenech;Hotelschool The Hague;NL
journals/ijcomsys/NivashB20;J. P. Nivash;University of Northeastern Philippines;PH
journals/ijflis/Jung10a;Sung Hoon Jung;University of the West Indies St. Augustine;TT
journals/tosem/BonifatiCCFP01;Alfonso Fuggetta;Dalian University of Foreign Language;CN
journals/ejc/WangL07;Ko-Wei Lih;Universiteit Antwerpen;BE
journals/corr/abs-1907-06189;Chen Shen;State University of New York at Buffalo;US
journals/jaciii/ZinAM09;Fady Alnajjar;Fachhochschule JOANNEUM;AT
journals/wpc/MariasPPHM04;Giannis F. Marias;Tbilisi State University;GE
journals/prl/AzzopardiP13;George Azzopardi;University of Rousse;BG
journals/jcisd/Labute05;Paul Labute;John Paul the Great Catholic University;US
journals/jsa/Lius92;Rafael D. Lius;Vidzeme University College;LV
journals/jucs/AntalBFJ06;István Fazekas;Medical University of Sofia;BG
journals/tc/ChoiPK90;Bong-Rad Choi;Columbia University;US
journals/ao/BurekLH16;Frank Loebe;Okayama Shoka University;JP
journals/dud/Schulz08;Gabriel Schulz;Arak University of Technology;IR
journals/ijbc/ZhusubaliyevMY11;Erik Mosekilde;Franciscan University of Steubenville;US
journals/isci/HartungLHR10;Erhard Rahm;Omsk State Medicical Academy;RU
journals/access/LianDWY21;Majun Lian;Nagoya College of Music;JP
journals/www/FengRXWL20;Fu Lee Wang;Universidad de San Buenaventura;CO
journals/tsp/ZhangZY16;Anxue Zhang;Wuhan Technical University of Surveying and Mapping;CN
journals/pc/KniggeB20;Rob H. Bisseling;Ecole Supérieure de Commerce de Marseille-Provence;FR
journals/jcheminf/ZhengYGYDLX19;Jun Xu 0017;Carthage College;US
journals/appml/XieQC15;Bing Xie;Eiilm University;IN
journals/apin/ZhangXZW17;Gongwen Xu;Aquinas College;US
journals/fdgth/Ilan20;Yaron Ilan;The Interdisciplinary Center Herzliya;IL
journals/ieicet/ChooC09;GinKyu Choi;Technological Education Institute of Athens;GR
journals/corr/abs-1907-00652;Ashley Daniel Gritzman;Hollins University;US
journals/mst/SarkarCBV18;Annalisa De Bonis;Centro Universitario Villanueva;ES
journals/iet-cds/TabrizchiPSNB17;Atiyeh Panahi;Central Buganda University;UG
journals/networks/PaschosTZ10;Orestis Telelis;Blackburn College;US
journals/tse/HollidayV87;Mark A. Holliday;Umutara Polytechnic;RW
journals/ce/KongLS20;Daner Sun;Beijing Forestry University;CN
journals/jim/Hongler97;Max-Olivier Hongler;Mahatma Jyotiba Phule Rohilkhand University Bareilly ;IN
journals/anor/Gorman98;Michael Francis Gorman;University of Redlands;US
journals/ijoe/Babulak06a;Eduard Babulak;University of Applied Sciences Chur;CH
journals/corr/abs-1908-07860;Lei Wang 0124;Ibra College of Technology;OM
journals/dm/ColbournS01;Charles J. Colbourn;University of Saint La Salle;PH
journals/jocn/ColizoliMSR17;H. Steven Scholte;Ittihad Private University;SY
journals/hij/CheungKSSKBG20;Alan Kaplan;Universidad Kino;MX
journals/cmmm/BiYZ20;Anqi Bi;Universitas Tunas Pembangunan;ID
journals/corr/abs-2012-14334;Fangbo Wang;Kostroma State Technological University;RU
journals/ijcon/XiD08;Zairong Xi;Maritime University in Szczecin;PL
journals/pbml/MedianiNW12;Alex Waibel;Université de Bretagne Sud;FR
journals/computer/KasturiFAF89;Mukesh L. Amlani;Institute of Teachers Education, Tengku Ampuan Afzan;MY
journals/candc/BS21;Abinaya B.;Philippine Women's University;PH
journals/cea/IlicIJP18;Milos Ilic;Universidad Señor de Sipán;PE
journals/ijbc/JafariSPGJ14;Amir Homayoun Jafari;Universidad Nacional Andrés Bello;CL
journals/pr/AptoulaL07;Erchan Aptoula;Western Bible College;US
journals/pc/SmiejaM90;Frank J. Smieja;College of St. Joseph;US
journals/corr/abs-2009-07091;Malik Imran;Open University of Cyprus;CY
journals/scn/LeinmullerSKM10;Christian Maihöfer;Western Michigan University;US
journals/icl/KaytazUC20;Seyhan Ucar;Adler School of Professional Psychology;US
journals/tnsm/LiuPWWW21;Guojun Wang 0001;Vietnam National University of Agriculture;VN
journals/eswa/ZhangPZK12;Ercan E. Kuruoglu;Eurasian Institute of market;KZ
journals/nis/CalvaneseGL99;Diego Calvanese;Carlow Institute of Technology;IE
journals/corr/abs-1810-08100;Chih-Yao Hsieh;Universidad Norbert Wiener;PE
journals/corr/GamperliKD16;Adrian Gämperli;Universidad Adolfo Ibáñez;CL
journals/tmc/KomaliMG08;Allen B. MacKenzie;Babson College;US
journals/mr/HanJO16;Chang-Woo Han;Fukuyama Heisei University;JP
journals/tcs/SloanST07;Balázs Szörényi;Fachhochschule Trier, Hochschule für Technik, Wirtschaft und Gestaltung;DE
journals/mia/WuLKCD11;Karl Krissian;Vesalius College;BE
journals/ao/LaurierKP18;Jesper Kiehn;Westminster International University in Tashkent;UZ
journals/access/KumarBD21;Kundan Kumar;Kyushu Dental College;JP
journals/ese/FalessiPCC17;Davide Falessi;Kenyatta University;KE
journals/ijflis/KimPK17;Beomseong Kim;Ivanovo State University of Chemistry and Technology;RU
journals/corr/RodriguesRTT15;Agma J. M. Traina;Lakshmibai National Institute of Physical Education;IN
journals/sensors/MoreauAR17;Julien Moreau; L.D.College of Engineering;IN
journals/ijgt/PonsatiW97;Clara Ponsati;Motilal Nehru National Institute Of Technology;IN
journals/rsl/Tennant15a;Neil Tennant;Universidad del Norte;CO
journals/jamia/Holroyd-LeducLSSQ11;Diane Lorenzetti;King Fahd Security College;SA
journals/eccc/ECCC-TR03-066;Daniele Micciancio;Tokushima Bunri University;JP
journals/sensors/GradauskasDCD21;Bohdan Dzundza;Universidad Privada San Pedro;PE
journals/mj/BhattacharjeeSL17;Anne Siemon;Islamic Azad University, Aliabad ;IR
journals/ar/SuleimanKMY11;Eiichi Yoshida;Adnan Menderes University;TR
journals/access/SteinmetzEBW19;Erik Steinmetz;"Universidad Catolica ""Redemptoris Mater""";NI
journals/tpc/Youngblood11;Norman E. Youngblood;Ho Chi Minh City University of Social Sciences and Humanities;VN
journals/ecra/KauffmanCPW09a;J. Christopher Westland;University of Kalamoon;SY
journals/corr/abs-2202-13472;Chen Gong;Penang International Dental College;MY
journals/ijwmc/SusiloM05;Willy Susilo;Higher Institute of Business Administration;SY
journals/logcom/GorznyPP21;Bruno Woltzenlogel Paleo;Rice University;US
journals/tcom/Bochmann90;Gregor von Bochmann;Moscow P. I. Tchaikovsky Conservatory;RU
journals/cga/Takala85;Tapio Takala;Epoka University;AL
journals/corr/abs-2002-11860;Alicia Y. Tsai;Universidad Técnica de Machala;EC
journals/neuroimage/GrivazBS17;Andrea Serino;Napier University;GB
journals/tcad/DevganR94;Anirudh Devgan;Ringling College of Art and Design;US
journals/acs/Daus11;Leonard Daus;Centre de Formation et de Perfectionnement des Journalistes;FR
journals/sensors/YangYGKYWM21;Caoyuan Ma;Virginia Military Institute;US
journals/ijskd/Tikhomirova20;Olga Tikhomirova;Alvernia College;US
journals/corr/abs-2112-07434;Ayush Kumar;University of Waikato;NZ
journals/corr/abs-2001-04253;Alexandros Karatzoglou;Nicolaus Copernicus University of Torun;PL
journals/npl/LiuM18;Xi Liu 0004;Universidad Nacional del Centro del Perú;PE
journals/wc/LinWLL19;Hao-Chen Wang;Universitas Muhammadiyah Yogyakarta;ID
journals/eg/FaisalR08;Mohd. Nishat Faisal;Universidad de Cienfuegos;CU
journals/jnca/StergiouG12;Eleftherios Stergiou;Instituto Superior de Ciências Empresariais e de Turismo;PT
journals/iandc/CellineseDMV21;Francesco Cellinese;Madurai Kamaraj University;IN
journals/appml/DengDL18;Chujian Lin;Medizinische Universität Lübeck;DE
